millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
7376, 0.867, 0.143, 0.545, -5.310, 15.991, -14.771, 24.247, -0.211, -0.959, -0.169, -31.250, 3.052, 4.761, 21.931, -0.098, 0.959, -0.290, 81.665, -66.711, -44.678, 20.012, 26.990, 18.470
7411, 0.836, 0.179, 0.571, -5.005, 13.672, -17.334, 24.244, -0.205, -0.926, -0.229, -22.949, 15.381, 1.587, 21.943, 0.066, 0.892, -0.202, 172.363, -123.718, -95.825, 20.012, 26.990, 18.490
7452, 0.806, 0.191, 0.582, -10.864, 9.583, -18.372, 24.250, -0.222, -0.924, -0.253, -9.644, 20.325, 12.268, 21.931, -0.155, 0.965, -0.462, 196.533, -56.274, -20.508, 20.027, 26.670, 18.490
7488, 0.789, 0.176, 0.603, -11.780, 3.418, -17.578, 24.256, -0.239, -0.895, -0.230, -2.136, 26.428, 9.399, 21.952, -0.031, 0.702, -1.207, 151.611, 124.634, -26.184, 20.033, 26.670, 18.470
7524, 0.767, 0.117, 0.604, 6.348, -5.188, -18.494, 24.262, -0.234, -0.854, -0.226, -7.385, 23.132, 1.221, 21.952, -0.398, 0.546, -0.813, -102.966, 229.675, -87.036, 20.009, 26.670, 18.470
7566, 0.767, 0.208, 0.601, 10.620, -4.211, -21.423, 24.229, -0.404, -0.888, -0.270, -23.071, 20.813, -19.531, 21.967, -1.167, 1.033, -0.018, -93.384, 307.373, -178.406, 20.018, 24.690, 18.470
7602, 0.761, 0.231, 0.577, 1.770, 6.653, -18.677, 24.265, -0.077, -0.924, -0.262, -56.519, 25.208, -93.384, 21.964, -0.489, 0.695, -0.529, 57.556, -72.205, 67.810, 20.012, 24.690, 18.470
7643, 0.764, 0.358, 0.578, -1.648, 0.977, -0.671, 24.265, -0.119, -0.902, -0.384, -9.094, 37.659, -35.767, 21.926, 0.038, 0.723, -0.582, -27.771, -26.245, -1.160, 19.997, 24.690, 18.470
7679, 0.758, 0.268, 0.607, -16.174, 0.610, -5.371, 24.256, -0.119, -0.863, -0.370, 4.578, 23.865, 1.343, 21.940, -0.221, 0.763, -0.605, 2.686, 27.466, -31.433, 20.030, 24.470, 18.470
7715, 0.813, 0.288, 0.565, -18.982, 0.916, -7.202, 24.253, -0.178, -0.937, -0.290, 0.366, 24.902, -2.563, 21.940, -0.258, 0.735, -0.578, 20.874, 3.601, 9.521, 20.000, 24.470, 18.490
7757, 0.838, 0.263, 0.575, -23.315, 3.540, -3.967, 24.229, -0.143, -0.943, -0.297, -3.052, 19.226, 2.258, 21.937, -0.207, 0.768, -0.662, 26.184, -5.188, 8.118, 20.033, 24.690, 18.490
7793, 0.872, 0.232, 0.570, -20.264, 4.272, -5.554, 24.262, -0.108, -0.962, -0.300, 2.258, 26.001, 8.423, 21.949, -0.248, 0.786, -0.701, 25.146, 1.648, 17.822, 20.021, 24.690, 18.490
7829, 0.887, 0.274, 0.575, -17.761, 8.423, -7.751, 24.250, 0.013, -1.021, -0.416, 37.964, 58.105, 65.369, 21.964, -0.198, 0.795, -0.666, 20.081, -0.549, 16.113, 20.009, 24.690, 18.490
