millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
7379, 0.859, 0.257, 0.606, 11.047, 9.705, 19.409, 23.474, -0.542, -0.876, 0.002, -16.907, -14.709, -12.146, 20.697, -0.403, 0.796, -0.556, 7.019, 33.081, 14.465, 19.209, 26.050, 19.310
7414, 0.859, 0.244, 0.619, 5.981, 7.690, 14.771, 23.465, -0.548, -0.870, 0.030, -12.329, -9.094, -12.573, 20.691, -0.410, 0.790, -0.567, 8.179, 18.982, -1.831, 19.209, 26.050, 19.310
7455, 0.884, 0.190, 0.613, 3.174, 4.578, 16.296, 23.459, -0.530, -0.869, 0.105, -22.705, -13.245, 3.357, 20.700, -0.389, 0.810, -0.601, 19.287, -3.845, 21.179, 19.203, 26.030, 19.310
7491, 0.889, 0.163, 0.619, 7.874, 3.174, 13.855, 23.477, -0.595, -0.787, 0.130, -65.796, -32.898, 9.949, 20.709, -0.319, 0.828, -0.658, 21.851, 5.066, 26.428, 19.200, 26.030, 19.270
7527, 0.879, 0.180, 0.616, 19.470, 4.150, 10.986, 23.480, -0.489, -0.862, -0.006, -82.275, -46.753, 26.550, 20.694, -0.288, 0.862, -0.624, 6.042, 12.207, -0.488, 19.215, 26.030, 19.270
7569, 0.855, 0.194, 0.598, 34.485, 5.676, 16.785, 23.483, -0.506, -0.855, -0.090, -80.627, -63.293, 28.564, 20.680, -0.269, 0.845, -0.606, -13.489, 6.409, -25.024, 19.224, 25.870, 19.270
7605, 0.795, 0.228, 0.598, 45.776, 10.315, 20.203, 23.459, -0.538, -0.815, -0.146, -42.175, -52.124, 17.395, 20.691, -0.228, 0.830, -0.534, -33.997, 12.146, -42.297, 19.218, 25.870, 19.250
7646, 0.771, 0.321, 0.570, 52.673, 10.803, 23.193, 23.459, -0.655, -0.759, -0.097, 12.939, -40.833, 17.456, 20.697, -0.305, 0.772, -0.415, -35.645, 29.663, -71.106, 19.218, 25.790, 19.250
7682, 0.785, 0.377, 0.541, 49.072, 12.817, 28.687, 23.471, -0.682, -0.722, -0.045, 29.846, -32.166, -0.549, 20.706, -0.427, 0.722, -0.347, -24.902, 51.514, -54.932, 19.215, 25.790, 19.270
7719, 0.780, 0.367, 0.551, 37.598, 14.648, 32.654, 23.492, -0.672, -0.718, -0.042, 25.513, -26.062, -12.146, 20.694, -0.423, 0.715, -0.388, 9.766, 53.040, -11.108, 19.212, 25.790, 19.270
7761, 0.778, 0.313, 0.565, 22.400, 13.367, 34.546, 23.498, -0.684, -0.764, -0.026, -0.366, -22.034, -30.701, 20.683, -0.390, 0.746, -0.443, 15.564, 50.964, -4.883, 19.239, 25.790, 19.270
7797, 0.756, 0.295, 0.607, 13.977, 8.667, 35.461, 23.486, -0.604, -0.728, -0.003, 5.615, -24.292, -28.870, 20.691, -0.360, 0.765, -0.516, 18.188, 22.766, 4.517, 19.221, 25.790, 19.270
7833, 0.805, 0.250, 0.588, 8.545, 3.967, 33.264, 23.489, -0.548, -0.799, -0.015, -2.197, -25.757, -11.963, 20.709, -0.355, 0.760, -0.535, 16.785, 32.410, -4.883, 19.209, 25.670, 19.270
7872, 0.838, 0.155, 0.609, 6.287, 1.526, 27.588, 23.471, -0.481, -0.832, -0.005, 7.324, -19.287, -14.954, 20.700, -0.391, 0.782, -0.653, 22.766, 36.865, 4.456, 19.203, 25.670, 19.270
7902, 0.899, 0.111, 0.602, 11.414, 3.418, 16.846, 23.501, -0.454, -0.845, 0.071, 18.127, -14.343, -9.705, 20.689, -0.396, 0.781, -0.763, 27.405, 33.264, 24.902, 19.224, 25.670, 19.270
7932, 0.912, 0.137, 0.586, 19.226, 4.150, 6.531, 23.486, -0.474, -0.833, 0.118, 14.648, -8.118, 2.319, 20.706, -0.390, 0.813, -0.691, 7.080, 22.644, 25.513, 19.254, 25.670, 19.270
