millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
7382, 0.778, 0.332, 0.635, 10.986, 16.541, 1.038, 27.434, -0.579, -0.804, -0.018, 19.348, 21.240, -8.667, 23.753, -0.256, 0.809, -0.544, -21.057, 23.193, 13.428, 21.216, 25.690, 20.570
7418, 0.666, 0.468, 0.768, 12.268, 10.437, 9.155, 27.452, -0.615, -0.808, -0.197, -22.949, -15.503, 2.808, 23.756, -0.131, 0.896, -0.571, 11.841, 20.874, 20.935, 21.198, 25.690, 20.570
7460, 0.700, 0.458, 0.836, 8.911, -0.610, 16.113, 27.440, -0.588, -0.973, -0.384, -26.794, -20.630, 11.047, 23.741, -0.202, 0.873, -0.729, 14.648, 10.071, -24.780, 21.219, 25.610, 20.590
7497, 0.824, 0.268, 0.735, -4.395, -6.409, 16.907, 27.458, -0.408, -0.952, -0.188, 4.272, -15.686, 6.958, 23.759, -0.409, 0.758, -0.737, 8.301, 6.897, -18.616, 21.219, 25.610, 20.590
7534, 0.828, 0.081, 0.682, 1.343, -4.089, 7.629, 27.458, -0.282, -0.932, -0.087, 4.028, -18.127, 6.592, 23.756, -0.416, 0.657, -0.784, -0.793, 5.249, -8.789, 21.222, 25.310, 20.590
7576, 0.819, 0.140, 0.577, 14.587, 3.052, -7.019, 27.446, -0.373, -0.821, -0.003, -0.793, -6.226, 21.423, 23.744, -0.329, 0.686, -0.635, -5.859, 8.118, 15.137, 21.210, 25.310, 20.550
7612, 0.743, 0.279, 0.571, 18.555, 13.794, -6.165, 27.446, -0.514, -0.796, -0.077, -24.658, -7.263, 16.846, 23.759, -0.260, 0.663, -0.512, -14.404, 14.160, 15.564, 21.210, 25.310, 20.550
7654, 0.560, 0.342, 0.769, 13.977, 15.686, 6.165, 27.437, -0.458, -0.802, -0.397, -22.705, -6.958, -4.822, 23.765, 0.003, 0.731, -0.656, 13.916, 22.644, 18.738, 21.213, 25.130, 20.550
7690, 0.512, 0.406, 0.859, 5.310, 5.798, 15.259, 27.449, -0.533, -0.814, -0.465, -17.517, -16.479, 1.099, 23.756, -0.027, 0.703, -0.608, -3.784, 14.648, -19.348, 21.219, 25.130, 20.590
7727, 0.629, 0.252, 0.717, -5.554, -2.197, 20.691, 27.410, -0.425, -0.839, -0.286, 4.517, -8.179, -18.555, 23.747, -0.229, 0.628, -0.625, 11.536, 13.550, -29.663, 21.207, 25.190, 20.590
7769, 0.751, 0.019, 0.711, -4.883, -7.385, 22.278, 27.437, -0.203, -0.890, -0.123, 15.503, -17.395, -15.381, 23.744, -0.395, 0.612, -0.846, 21.545, 10.742, -36.865, 21.195, 25.190, 20.590
7805, 0.918, -0.047, 0.578, 7.446, -4.639, 7.812, 27.437, -0.237, -0.936, 0.039, 17.883, -5.005, -3.174, 23.783, -0.583, 0.605, -0.797, -9.827, 8.362, -25.879, 21.222, 25.190, 20.590
7841, 0.874, 0.125, 0.633, 27.344, 4.944, -4.517, 27.446, -0.436, -0.902, 0.051, -8.545, -6.470, 7.385, 23.738, -0.314, 0.746, -0.723, -1.770, 8.545, 8.484, 21.195, 25.230, 20.590
7881, 0.828, 0.312, 0.583, 31.372, 0.549, 9.644, 27.437, -0.546, -0.895, -0.089, -12.329, -28.137, 15.381, 23.744, -0.382, 0.726, -0.528, -22.949, 13.489, -30.334, 21.198, 25.230, 20.590
7911, 0.840, 0.333, 0.426, 29.297, 6.958, 11.169, 27.473, -0.562, -0.795, 0.027, 6.165, -15.259, -1.648, 23.720, -0.406, 0.722, -0.396, -19.775, 19.226, -17.456, 21.228, 25.170, 20.590
7941, 0.841, 0.395, 0.431, 26.123, 9.705, 16.724, 27.434, -0.639, -0.792, 0.067, 2.319, -12.451, -14.404, 23.747, -0.425, 0.730, -0.315, -8.911, 26.184, -27.649, 21.216, 25.170, 20.590
7973, 0.847, 0.438, 0.396, 15.320, 12.085, 25.757, 27.428, -0.648, -0.767, 0.093, -9.094, -17.578, -20.020, 23.720, -0.469, 0.729, -0.313, 7.751, 22.034, -37.292, 21.204, 25.170, 20.570
8003, 0.833, 0.399, 0.482, 6.165, 10.864, 30.457, 27.470, -0.585, -0.846, -0.047, -15.198, -21.179, -27.527, 23.711, -0.477, 0.742, -0.411, 27.222, 14.221, -36.499, 21.192, 25.170, 20.570
8035, 0.865, 0.234, 0.459, -7.996, 7.507, 32.776, 27.443, -0.394, -0.868, 0.027, 15.076, -12.573, -32.654, 23.720, -0.564, 0.612, -0.505, 35.400, 14.038, -52.734, 21.207, 25.490, 20.570
8065, 0.915, 0.024, 0.437, -8.301, 9.033, 24.170, 27.437, -0.259, -0.773, 0.221, 15.869, -6.775, -29.053, 23.729, -0.652, 0.547, -0.631, 25.940, 9.216, -34.180, 21.231, 25.490, 20.590
8095, 0.841, -0.016, 0.539, 13.184, 11.780, 10.559, 27.458, -0.290, -0.773, 0.163, -27.283, -16.357, -2.991, 23.717, -0.497, 0.639, -0.744, 32.715, -3.662, 15.320, 21.225, 25.490, 20.590
8127, 0.820, 0.238, 0.549, 29.907, 7.141, 4.517, 27.464, -0.474, -0.882, -0.011, -31.555, -20.325, 17.334, 23.717, -0.354, 0.756, -0.618, -3.235, -5.066, 28.442, 21.222, 25.590, 20.590
8156, 0.879, 0.347, 0.551, 33.081, 1.648, 7.446, 27.449, -0.578, -0.916, -0.042, -16.663, -23.499, 8.728, 23.720, -0.510, 0.778, -0.551, -25.574, 21.179, -27.100, 21.216, 25.590, 20.590
8185, 0.939, 0.438, 0.567, 29.724, 0.610, 8.972, 27.464, -0.661, -0.974, -0.036, -12.756, -20.325, 3.479, 23.690, -0.539, 0.836, -0.439, -12.207, 20.081, -14.099, 21.210, 25.590, 20.590
