millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
6900, 0.583, -0.198, 0.821, -4.211, 24.048, -2.930, 25.439, -0.562, -0.791, 0.142, 13.367, 10.315, -24.902, 23.192, -0.303, 0.701, -0.809, -14.221, -22.034, 12.878, 21.090, 23.170, 20.190
6935, 0.502, -0.273, 0.818, 0.793, 18.799, 2.930, 25.412, -0.587, -0.639, 0.187, -10.681, 10.315, -12.573, 23.222, 0.084, 0.625, -0.793, -30.334, 20.813, 32.837, 21.108, 23.170, 20.170
6976, 0.572, -0.185, 0.742, 10.559, 7.385, 10.132, 25.448, -0.600, -0.640, 0.148, -13.855, -1.526, -2.197, 23.216, -0.140, 0.562, -0.624, -19.958, -1.709, -83.496, 21.093, 23.170, 20.170
7012, 0.594, -0.135, 0.709, 12.573, 5.737, 13.428, 25.427, -0.618, -0.648, 0.094, -16.174, -2.136, -1.709, 23.228, -0.416, 0.499, -0.593, -17.639, 21.851, -79.163, 21.102, 23.170, 20.170
7047, 0.582, -0.121, 0.721, 2.319, 13.489, 8.484, 25.424, -0.627, -0.629, 0.077, -10.254, -0.183, -8.606, 23.216, -0.407, 0.526, -0.606, 11.902, 32.471, 5.127, 21.099, 23.170, 20.190
7088, 0.542, -0.179, 0.779, -6.348, 12.756, 6.714, 25.424, -0.576, -0.698, 0.094, 0.061, -5.920, -10.742, 23.228, -0.177, 0.607, -0.711, 10.681, 16.907, 32.104, 21.102, 23.170, 20.190
7123, 0.512, -0.248, 0.821, -6.775, 9.888, 6.165, 25.439, -0.562, -0.737, 0.136, 5.066, -2.808, -10.803, 23.234, -0.129, 0.607, -0.755, 3.906, 0.916, -1.770, 21.093, 23.210, 20.190
7164, 0.537, -0.300, 0.836, -4.639, 2.747, 5.249, 25.418, -0.569, -0.734, 0.197, 6.287, -2.380, -4.089, 23.225, -0.197, 0.623, -0.817, 10.254, 16.541, -6.531, 21.081, 23.210, 20.190
7200, 0.601, -0.314, 0.826, -1.160, -2.258, 4.028, 25.439, -0.603, -0.739, 0.231, 2.319, -1.465, 1.770, 23.213, -0.239, 0.590, -0.847, 12.024, 20.081, -10.864, 21.090, 23.230, 20.190
7235, 0.641, -0.297, 0.831, 1.160, -4.944, 1.526, 25.457, -0.653, -0.758, 0.216, -7.202, 0.305, 6.042, 23.213, -0.325, 0.617, -0.839, 8.789, 5.066, -8.423, 21.093, 23.230, 20.190
7276, 0.684, -0.301, 0.838, 0.610, -3.723, -0.549, 25.427, -0.729, -0.742, 0.242, -0.244, 3.845, 3.967, 23.240, -0.324, 0.611, -0.857, 4.578, 2.991, -3.235, 21.093, 23.230, 20.190
7311, 0.705, -0.313, 0.849, 3.418, -5.493, 4.150, 25.427, -0.726, -0.732, 0.279, 0.122, -4.639, 7.019, 23.207, -0.286, 0.668, -0.887, 2.625, 4.761, 1.404, 21.075, 23.210, 20.190
7346, 0.730, -0.328, 0.835, 12.085, -7.690, 9.766, 25.436, -0.742, -0.743, 0.281, -12.451, -8.545, 11.963, 23.237, -0.269, 0.641, -0.874, -7.996, 14.038, -23.926, 21.102, 23.210, 20.210
