millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
7376, 0.961, -0.153, 0.333, 12.024, 2.869, 2.319, 26.137, -0.400, -0.527, 0.701, -8.484, 2.808, 9.338, 23.507, -0.612, 0.775, 0.002, -5.371, 13.245, 3.967, 22.054, 26.990, 20.590
7420, 0.981, -0.064, 0.324, 10.193, 3.662, 1.526, 26.134, -0.475, -0.552, 0.661, -10.986, -1.648, 7.629, 23.534, -0.574, 0.765, 0.094, -1.526, 9.888, 4.333, 22.060, 26.990, 20.590
7458, 0.957, -0.092, 0.332, 5.432, 6.409, 5.554, 26.131, -0.428, -0.540, 0.661, -3.906, -0.366, 2.319, 23.519, -0.576, 0.788, 0.022, 10.986, 15.503, 5.371, 22.030, 26.990, 20.590
7496, 0.920, -0.148, 0.347, 10.986, 6.165, 6.470, 26.155, -0.409, -0.501, 0.674, -4.700, -5.676, 7.202, 23.522, -0.539, 0.793, -0.036, -1.953, 16.785, 4.761, 22.054, 26.990, 20.590
7540, 0.890, -0.125, 0.369, 20.691, 3.540, 8.484, 26.143, -0.396, -0.546, 0.625, -16.174, -10.559, 18.066, 23.507, -0.512, 0.770, -0.020, -7.568, 25.208, 5.493, 22.075, 26.990, 20.590
7579, 0.888, -0.062, 0.387, 18.982, 0.977, 8.179, 26.134, -0.431, -0.589, 0.575, -12.024, -11.475, 15.503, 23.522, -0.493, 0.767, 0.028, -7.996, 18.799, 3.479, 22.051, 26.990, 20.610
7618, 0.875, -0.033, 0.391, 12.939, 1.282, 10.559, 26.137, -0.441, -0.583, 0.555, -3.357, -11.292, 6.714, 23.489, -0.466, 0.748, 0.043, -4.333, 17.578, -3.357, 22.069, 27.030, 20.610
7662, 0.851, -0.095, 0.389, 5.920, 1.282, 13.245, 26.152, -0.365, -0.552, 0.578, -0.854, -14.343, 1.831, 23.513, -0.494, 0.732, -0.034, 9.155, 20.020, -4.822, 22.048, 27.030, 20.570
7700, 0.903, -0.199, 0.384, 6.714, -2.808, 11.841, 26.137, -0.318, -0.561, 0.647, 1.160, -11.292, 5.493, 23.537, -0.592, 0.787, -0.100, 5.737, 18.982, -6.042, 22.054, 27.030, 20.570
7739, 0.911, -0.168, 0.353, 10.193, -3.113, 6.287, 26.137, -0.386, -0.569, 0.686, -1.648, -5.920, 14.771, 23.531, -0.612, 0.789, -0.026, -4.578, 13.489, -6.042, 22.039, 26.990, 20.570
7783, 1.119, -0.069, 0.341, -0.427, -5.615, 4.822, 26.152, -0.508, -0.598, 0.732, 2.686, -7.324, 2.625, 23.516, -0.714, 0.777, 0.138, 12.573, 7.263, -9.094, 22.057, 26.990, 20.570
7822, 1.016, -0.163, 0.336, -11.475, 3.540, 4.395, 26.140, -0.422, -0.551, 0.750, 5.676, 0.488, -9.766, 23.498, -0.696, 0.825, -0.019, 25.818, 4.333, -5.249, 22.051, 26.990, 20.570
7860, 0.993, -0.210, 0.365, -6.958, 0.244, -0.977, 26.155, -0.387, -0.561, 0.717, 0.793, 4.517, -1.221, 23.534, -0.649, 0.834, -0.075, 7.996, -1.953, -2.502, 22.054, 26.990, 20.590
7904, 0.933, -0.149, 0.379, -1.038, -2.563, -5.554, 26.152, -0.393, -0.564, 0.654, 2.136, 7.629, 5.066, 23.549, -0.574, 0.798, -0.039, 2.563, -1.465, 1.221, 22.060, 26.990, 20.590
7943, 0.888, -0.100, 0.371, -0.244, -3.174, -6.165, 26.122, -0.409, -0.571, 0.607, 2.258, 6.409, 6.104, 23.537, -0.521, 0.764, 0.006, -1.099, -2.258, -0.916, 22.057, 26.990, 20.590
7980, 0.893, -0.070, 0.354, -3.906, -4.028, -5.920, 26.128, -0.434, -0.548, 0.594, 8.301, 7.385, 4.639, 23.543, -0.519, 0.741, 0.024, 3.662, -4.395, -4.395, 22.075, 26.990, 20.570
8015, 0.905, -0.118, 0.348, -5.371, -4.333, -4.028, 26.152, -0.398, -0.521, 0.631, 9.338, 6.592, 1.892, 23.546, -0.546, 0.745, -0.021, 9.338, -2.197, -4.028, 22.057, 26.930, 20.570
8048, 0.874, -0.177, 0.364, -3.296, -7.202, -3.662, 26.158, -0.345, -0.530, 0.635, 7.263, 1.160, 5.127, 23.543, -0.547, 0.764, -0.098, 7.507, -0.366, -2.808, 22.054, 26.930, 20.590
8083, 0.837, -0.197, 0.372, 2.869, -13.000, -4.700, 26.161, -0.316, -0.544, 0.636, 9.583, 2.991, 18.799, 23.558, -0.532, 0.782, -0.124, -5.066, -1.465, -5.310, 22.069, 26.930, 20.590
