millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
149975, 0.995, -0.289, 0.126, -0.916, 0.488, -1.465, 25.151, -0.497, -0.540, 0.673, 2.319, 0.854, 0.793, 21.857, -0.310, 0.831, -0.494, 5.859, 3.784, -0.610, 21.680, 22.290, 20.710
150008, 0.989, -0.266, 0.146, -0.549, 2.380, 0.427, 25.142, -0.511, -0.522, 0.669, 1.038, 2.502, 1.343, 21.872, -0.319, 0.829, -0.484, 6.714, 4.395, -0.671, 21.701, 22.290, 20.670
150041, 0.990, -0.273, 0.142, -1.587, 2.563, 1.282, 25.142, -0.505, -0.533, 0.664, -2.747, 1.770, 1.221, 21.902, -0.330, 0.844, -0.504, 9.216, 3.479, 0.488, 21.692, 22.290, 20.670
150076, 0.985, -0.286, 0.160, -2.014, 0.916, -0.854, 25.145, -0.502, -0.554, 0.659, -3.052, 0.732, 0.732, 21.878, -0.306, 0.839, -0.516, 6.653, 0.793, -1.953, 21.695, 22.230, 20.670
150109, 1.009, -0.278, 0.127, -0.549, 2.686, -0.671, 25.145, -0.495, -0.540, 0.669, 0.122, 3.784, -0.122, 21.872, -0.339, 0.837, -0.486, 6.592, 3.296, 0.793, 21.677, 22.230, 20.730
150142, 0.969, -0.269, 0.167, -2.014, 1.526, 1.343, 25.142, -0.515, -0.540, 0.654, -0.183, 0.488, 1.648, 21.854, -0.307, 0.821, -0.504, 6.470, 6.104, 2.197, 21.692, 22.230, 20.730
150178, 0.961, -0.276, 0.105, -4.517, 1.160, 10.559, 25.145, -0.498, -0.529, 0.669, -1.709, 5.432, -0.793, 21.875, -0.304, 0.797, -0.455, 7.507, 17.578, 10.315, 21.689, 22.310, 20.730
150211, 0.953, -0.305, 0.142, -5.066, 0.244, 10.010, 25.151, -0.484, -0.547, 0.646, -2.075, 1.526, 2.441, 21.878, -0.319, 0.835, -0.532, 12.268, -7.202, 5.066, 21.689, 22.310, 20.710
150244, 0.909, -0.359, 0.139, 5.737, 4.639, -22.522, 25.130, -0.453, -0.549, 0.650, 7.507, -5.676, -2.991, 21.890, -0.353, 0.985, -0.705, 2.808, -6.165, -35.217, 21.698, 22.310, 20.710
150279, 0.949, -0.252, 0.145, -0.549, -0.061, -5.554, 25.136, -0.508, -0.546, 0.665, 4.028, 0.488, 5.371, 21.872, -0.307, 0.868, -0.457, 3.906, 15.808, 5.066, 21.692, 22.250, 20.710
150312, 1.018, -0.251, 0.120, 3.296, -1.099, -0.732, 25.154, -0.519, -0.506, 0.660, 4.333, -1.343, 2.808, 21.884, -0.337, 0.828, -0.471, 9.033, 14.221, -4.578, 21.689, 22.250, 20.730
150345, 0.978, -0.241, 0.147, 0.854, 3.174, 1.160, 25.136, -0.511, -0.523, 0.649, 3.845, 3.357, -1.282, 21.875, -0.338, 0.833, -0.474, 8.728, 11.047, 2.136, 21.683, 22.250, 20.730
150381, 0.977, -0.267, 0.143, -1.709, 0.610, -0.366, 25.133, -0.504, -0.516, 0.651, 1.404, -0.122, -0.244, 21.890, -0.300, 0.838, -0.496, 8.362, 4.639, 0.183, 21.692, 22.290, 20.730
150414, 0.991, -0.264, 0.127, -0.610, 3.784, 0.366, 25.139, -0.504, -0.522, 0.666, 3.174, 2.197, -3.296, 21.875, -0.304, 0.822, -0.466, 7.568, 5.371, -1.282, 21.698, 22.290, 20.730
150449, 0.968, -0.269, 0.140, -0.366, 2.686, 2.930, 25.142, -0.501, -0.511, 0.645, 2.441, -0.488, -1.648, 21.887, -0.311, 0.820, -0.493, 9.949, 7.141, -1.160, 21.683, 22.290, 20.730
